Motion Through Fluids Experiment Wed, Mar 21, 2018 2:58 PM
Time(sec)	Position(mm)
0.029	0.000
0.129	0.000
0.229	0.000
0.329	0.000
0.429	0.000
0.529	0.000
0.629	0.000
0.729	0.000
0.829	0.000
0.929	0.000
1.029	0.000
1.129	0.000
1.229	0.000
1.329	0.000
1.429	0.000
1.529	0.000
1.629	0.000
1.729	0.000
1.829	0.000
1.929	0.000
2.029	0.000
2.129	0.000
2.229	0.000
2.329	0.000
2.429	0.000
2.529	0.000
2.629	0.000
2.729	0.000
2.829	0.000
2.929	0.000
3.029	0.000
3.129	0.000
3.229	0.000
3.329	0.000
3.429	0.000
3.529	0.000
3.629	0.000
3.729	0.000
3.829	0.000
3.929	0.000
4.029	0.000
4.129	0.000
4.229	0.000
4.329	0.000
4.429	0.000
4.529	0.000
4.629	0.000
4.729	0.000
4.829	0.000
4.929	0.000
5.029	0.000
5.129	0.000
5.229	0.000
5.329	0.000
5.429	0.000
5.529	0.000
5.629	0.000
5.729	0.000
5.829	0.000
5.929	0.000
6.029	0.000
6.130	0.000
6.229	0.000
6.329	0.000
6.429	0.000
6.529	0.000
6.629	0.000
6.729	0.000
6.829	0.000
6.929	0.000
7.029	0.000
7.129	0.000
7.229	0.000
7.329	0.000
7.429	0.000
7.529	0.000
7.629	0.000
7.729	0.000
7.829	0.000
7.929	0.000
8.030	0.000
8.129	0.000
8.229	0.000
8.329	0.000
8.429	0.000
8.529	0.000
8.629	0.000
8.729	0.000
8.829	0.000
8.929	0.000
9.029	0.000
9.129	0.000
9.229	0.000
9.329	0.000
9.429	0.000
9.529	0.000
9.629	0.000
9.729	0.000
9.829	0.000
9.929	0.000
10.029	0.000
10.129	0.000
10.229	0.000
10.329	0.000
10.429	0.000
10.529	0.000
10.629	0.000
10.729	0.000
10.829	0.000
10.929	0.000
11.029	0.000
11.129	0.000
11.229	0.000
11.329	0.000
11.429	0.000
11.529	0.000
11.629	0.000
11.729	0.000
11.829	0.000
11.929	0.000
12.029	0.000
12.129	0.000
12.229	0.000
12.329	0.000
12.429	0.000
12.529	0.000
12.629	0.000
12.729	0.000
12.830	0.000
12.929	0.000
13.029	0.000
13.129	0.000
13.229	0.000
13.329	0.000
13.429	0.000
13.529	0.000
13.629	0.000
13.729	0.000
13.829	0.000
13.930	0.000
14.029	0.000
14.129	0.000
14.229	0.000
14.329	0.000
14.429	0.000
14.529	0.000
14.629	0.000
14.729	0.000
14.829	0.000
14.929	0.000
15.029	0.000
15.129	0.000
15.229	0.000
15.329	0.000
15.429	0.000
15.529	0.000
15.629	0.000
15.729	0.000
15.829	40.587
15.929	0.000
16.029	0.000
16.129	0.000
16.229	0.000
16.329	0.000
16.429	42.774
16.529	43.321
16.629	0.000
16.729	0.000
16.829	0.000
16.929	0.000
17.029	44.961
17.129	0.000
17.229	0.000
17.329	46.055
17.429	0.000
17.529	0.000
17.629	0.000
17.729	0.000
17.829	0.000
17.929	48.241
18.029	0.000
18.129	0.000
18.229	0.000
18.329	0.000
18.429	0.000
18.530	50.428
18.629	50.975
18.729	0.000
18.829	51.522
18.929	52.069
19.029	52.069
19.129	52.615
19.229	0.000
19.329	53.162
19.429	53.709
19.529	53.709
19.629	54.256
19.729	54.802
19.829	55.349
19.929	0.000
20.029	55.896
20.129	0.000
20.229	56.443
20.329	0.000
20.429	57.536
20.529	57.536
20.629	58.083
20.729	58.083
20.829	0.000
20.929	59.176
21.029	59.176
21.129	59.723
21.229	60.270
21.329	60.817
21.429	60.817
21.529	61.363
21.629	0.000
21.729	61.910
21.829	62.457
21.929	0.000
22.029	63.004
22.129	63.550
22.229	63.550
22.329	64.097
22.429	64.644
22.529	64.644
22.629	65.191
22.729	65.737
22.829	65.737
22.929	66.284
23.029	66.831
23.129	0.000
23.229	67.378
23.329	67.924
23.429	0.000
23.529	68.471
23.629	69.018
23.729	69.018
23.829	0.000
23.929	70.111
24.029	70.111
24.129	70.658
24.229	71.205
24.329	71.205
24.429	71.751
24.529	0.000
24.630	72.298
24.729	72.845
24.829	73.392
24.929	73.392
25.029	73.938
25.129	74.485
25.229	74.485
25.329	75.032
25.429	75.032
25.529	75.579
25.629	76.125
25.730	76.672
25.829	76.672
25.929	77.219
26.029	77.766
26.129	77.766
26.229	78.312
26.329	78.312
26.429	0.000
26.529	79.406
26.629	0.000
26.729	79.953
26.829	80.499
26.929	80.499
27.029	81.046
27.129	81.593
27.229	82.140
27.329	82.140
27.429	82.686
27.529	82.686
27.629	83.233
27.729	83.780
27.829	0.000
27.929	84.327
28.029	84.873
28.129	0.000
28.229	85.420
28.329	85.967
28.429	85.967
28.529	86.514
28.630	87.060
28.729	0.000
28.829	87.607
28.929	88.154
29.029	88.154
29.129	88.701
29.230	89.247
29.329	89.247
29.429	89.794
29.529	90.341
29.629	90.341
29.729	90.887
29.829	91.434
29.929	91.434
30.029	91.981
30.129	92.528
30.229	92.528
30.329	93.074
30.429	0.000
30.529	93.621
30.629	0.000
30.729	0.000
30.829	94.715
30.929	95.261
31.029	95.261
31.129	95.808
31.229	96.355
31.329	96.902
31.429	96.902
31.529	97.448
31.630	97.448
31.729	97.995
31.829	0.000
31.929	98.542
32.029	99.089
32.129	99.635
32.229	0.000
32.329	100.182
32.429	100.729
32.529	100.729
32.629	101.276
32.729	101.822
32.829	101.822
32.929	102.369
33.029	102.916
33.129	102.916
33.229	103.463
33.329	104.009
33.429	104.009
33.529	104.556
33.629	104.556
33.729	105.103
33.829	105.650
33.929	106.196
34.029	0.000
34.129	106.743
34.229	107.290
34.329	107.290
34.429	107.837
34.529	108.383
34.629	108.383
34.729	108.930
34.829	109.477
34.929	109.477
35.029	110.024
35.129	0.000
35.229	110.570
35.329	111.117
35.430	111.117
35.529	111.664
35.629	112.210
35.729	0.000
35.829	0.000
35.929	0.000
36.029	0.000
36.129	113.851
36.229	0.000
36.329	0.000
36.429	114.944
36.529	115.491
36.629	0.000
36.729	116.038
36.829	116.584
36.929	0.000
37.029	117.131
37.129	0.000
37.229	0.000
37.329	0.000
37.429	0.000
37.529	118.771
37.629	119.318
37.729	119.865
37.829	119.865
37.929	120.412
38.029	120.958
38.129	120.958
38.229	0.000
38.329	122.052
38.429	0.000
38.529	122.599
38.629	0.000
38.729	123.145
38.829	123.692
38.929	0.000
39.029	0.000
39.129	124.786
39.229	0.000
39.329	125.332
39.429	125.879
39.529	0.000
39.629	126.426
39.729	0.000
39.829	0.000
39.929	127.519
40.029	0.000
40.129	0.000
40.229	128.613
40.329	129.160
40.429	0.000
40.529	129.706
40.630	130.253
40.729	130.253
40.829	130.800
40.929	131.347
41.029	0.000
41.129	131.893
41.229	132.440
41.329	0.000
41.429	132.987
41.529	0.000
41.629	133.533
41.729	134.080
41.829	134.080
41.929	134.627
42.029	135.174
42.129	135.720
42.229	135.720
42.329	136.267
42.429	0.000
42.529	136.814
42.629	137.361
42.729	137.361
42.829	137.907
42.929	138.454
43.029	138.454
43.129	139.001
43.229	139.548
43.329	139.548
43.429	140.094
43.529	140.641
43.630	140.641
43.729	141.188
43.829	141.188
43.929	141.735
44.029	142.281
44.129	142.281
44.229	142.828
44.329	143.375
44.429	143.375
44.529	143.922
44.629	144.468
44.729	144.468
44.829	145.015
44.929	145.562
45.029	145.562
45.129	146.109
45.229	146.109
45.329	146.655
45.429	147.202
45.529	147.749
45.629	147.749
45.729	148.296
45.829	148.842
45.929	148.842
46.029	149.389
46.129	149.936
46.229	149.936
46.329	150.483
46.429	150.483
46.529	151.029
46.629	151.576
46.729	151.576
46.829	0.000
46.929	152.670
47.029	152.670
47.129	153.216
47.229	153.763
47.329	154.310
47.429	154.310
47.529	154.856
47.629	154.856
47.729	155.403
47.829	155.950
47.929	0.000
48.029	156.497
48.129	157.043
48.229	157.043
48.329	157.590
48.429	158.137
48.529	158.137
48.629	158.684
48.729	0.000
48.829	0.000
48.929	159.777
49.029	0.000
49.129	0.000
49.229	160.871
49.329	0.000
49.429	161.417
49.529	161.964
49.629	0.000
49.729	162.511
49.829	163.058
49.929	163.058
50.029	163.604
50.129	0.000
50.229	0.000
50.330	164.698
50.429	0.000
50.529	0.000
50.629	165.791
50.729	166.338
50.829	166.338
50.929	166.885
51.029	0.000
51.129	0.000
51.229	167.978
51.329	0.000
51.429	0.000
51.529	0.000
51.629	0.000
51.729	169.619
51.829	0.000
51.929	0.000
52.029	170.712
52.129	0.000
52.229	0.000
52.329	0.000
52.429	0.000
52.529	172.352
52.629	172.899
52.729	173.446
52.829	173.446
52.929	0.000
53.029	0.000
53.129	174.539
