Motion Through Fluids Experiment Wed, Mar 21, 2018 2:36 PM
Time(sec)	Position(mm)
0.027	0.000
0.077	0.000
0.127	0.000
0.177	0.000
0.227	0.000
0.277	0.000
0.327	0.000
0.377	0.000
0.427	0.000
0.477	0.000
0.527	0.000
0.577	0.000
0.627	0.000
0.677	0.675
0.727	1.768
0.777	2.315
0.827	4.502
0.877	6.689
0.927	8.876
0.977	11.063
1.027	12.703
1.077	14.890
1.127	17.077
1.177	19.264
1.227	21.451
1.277	23.638
1.327	26.372
1.377	28.559
1.427	30.746
1.477	32.933
1.527	35.120
1.577	37.307
1.627	39.494
1.677	41.681
1.727	43.868
1.777	46.055
1.827	48.241
1.878	50.428
1.927	52.615
1.977	55.349
2.027	57.536
2.077	59.723
2.127	61.363
2.177	63.550
2.227	65.737
2.277	68.471
2.327	70.658
2.377	72.845
2.428	75.032
2.477	77.219
2.527	79.406
2.577	81.593
2.627	83.780
2.677	85.967
2.727	88.154
2.777	90.341
2.827	92.528
2.877	94.715
2.927	97.448
2.977	99.635
3.027	101.822
3.077	104.009
3.127	106.196
3.177	108.383
3.227	110.570
3.277	112.757
3.327	114.944
3.377	117.131
3.427	119.865
3.477	122.052
3.527	124.239
3.577	126.426
3.627	128.613
3.677	130.800
3.727	132.987
3.777	135.174
3.827	137.361
3.877	139.548
3.927	141.735
3.977	144.468
4.027	146.655
4.077	148.842
4.127	151.029
4.177	153.216
4.227	155.403
4.277	157.590
4.327	159.777
4.377	161.964
4.427	164.151
4.477	166.885
4.527	169.072
4.577	171.259
4.627	173.446
4.677	175.633
4.727	177.820
4.777	180.007
4.827	182.194
4.877	184.381
4.928	186.568
4.977	188.755
5.027	191.488
5.077	193.675
5.127	195.862
5.177	198.049
5.227	200.236
5.277	201.876
5.327	204.610
5.377	206.797
5.427	208.984
5.477	211.171
5.527	213.358
5.577	215.545
5.627	217.732
5.677	219.919
5.727	222.106
5.777	224.840
5.827	227.027
5.877	229.214
5.927	231.401
5.977	233.588
6.027	235.775
6.077	237.962
6.127	240.148
6.177	242.335
6.227	244.522
6.277	246.709
6.327	248.896
6.377	251.083
6.427	253.270
6.478	254.364
6.527	0.000
6.577	0.000
6.627	0.000
6.677	0.000
6.727	0.000
6.777	0.000
6.827	0.000
6.877	0.000
6.927	0.000
6.977	0.000
7.027	0.000
7.077	0.000
7.127	0.000
7.177	0.000
7.227	0.000
7.277	0.000
7.327	0.000
7.377	0.000
7.427	0.000
7.477	0.000
7.528	0.000
7.577	0.000
7.627	0.000
7.677	0.000
7.727	0.000
7.777	0.000
7.827	0.000
7.877	0.000
