Motion Through Fluids Experiment Wed, Mar 21, 2018 2:39 PM
Time(sec)	Position(mm)
0.041	0.000
0.091	0.000
0.141	0.000
0.191	0.000
0.241	0.000
0.291	0.000
0.341	0.000
0.391	0.000
0.441	0.000
0.491	0.000
0.541	0.000
0.591	0.000
0.641	0.000
0.691	0.000
0.741	0.000
0.791	0.000
0.841	0.000
0.891	0.000
0.941	0.000
0.991	0.675
1.041	1.222
1.091	2.315
1.141	3.409
1.191	5.049
1.241	6.142
1.291	7.782
1.342	8.876
1.391	9.969
1.441	11.610
1.491	12.703
1.541	14.343
1.591	15.437
1.641	16.530
1.691	18.171
1.741	19.264
1.791	20.358
1.841	21.998
1.891	23.091
1.941	24.185
1.991	25.825
2.042	26.918
2.091	28.559
2.141	29.652
2.191	31.292
2.241	32.386
2.291	33.479
2.341	35.120
2.391	36.213
2.441	37.853
2.491	38.947
2.541	40.587
2.591	41.681
2.641	42.774
2.691	44.414
2.741	45.508
2.791	47.148
2.841	48.241
2.891	49.882
2.941	50.975
2.991	52.615
3.041	53.709
3.091	54.802
3.141	56.443
3.191	57.536
3.241	59.176
3.291	60.270
3.341	61.910
3.391	63.004
3.441	64.097
3.491	65.737
3.541	66.831
3.591	68.471
3.641	69.564
3.691	71.205
3.742	72.298
3.791	73.392
3.841	75.032
3.891	76.125
3.941	77.766
3.991	78.859
4.041	80.499
4.091	81.593
4.141	82.686
4.192	84.327
4.241	85.420
4.291	87.060
4.341	88.154
4.391	89.247
4.441	90.887
4.491	91.981
4.541	93.621
4.591	94.715
4.641	96.355
4.691	97.448
4.741	98.542
4.791	100.182
4.841	101.276
4.891	102.369
4.941	104.009
4.991	105.103
5.041	106.743
5.091	107.837
5.142	109.477
5.191	110.570
5.241	111.664
5.291	113.304
5.341	114.397
5.391	116.038
5.441	117.131
5.491	118.225
5.541	119.865
5.591	120.958
5.641	122.599
5.691	123.692
5.741	125.332
5.791	126.426
5.841	127.519
5.891	129.160
5.941	130.253
5.991	131.893
6.041	132.987
6.091	134.627
6.141	135.720
6.191	136.814
6.241	138.454
6.291	139.548
6.341	141.188
6.391	142.281
6.441	143.922
6.492	145.015
6.541	146.109
6.591	147.749
6.641	148.842
6.691	150.483
6.741	151.576
6.791	152.670
6.841	154.310
6.891	155.403
6.941	157.043
6.991	158.137
7.041	159.777
7.091	160.871
7.141	161.964
7.191	163.604
7.241	164.698
7.291	166.338
7.341	167.432
7.391	168.525
7.441	170.165
7.491	171.259
7.541	172.899
7.591	173.992
7.641	175.633
7.691	176.726
7.741	177.820
7.791	179.460
7.841	180.553
7.891	182.194
7.941	183.287
7.991	184.381
8.041	186.021
8.091	187.114
8.141	188.755
8.191	189.848
8.241	190.942
8.291	192.582
8.341	193.675
8.391	195.316
8.441	196.409
8.491	197.502
8.541	199.143
8.591	200.236
8.641	201.876
8.691	202.970
8.742	204.610
8.791	205.704
8.842	206.797
8.891	208.437
8.941	209.531
8.991	211.171
9.041	212.265
9.091	213.358
9.141	214.998
9.191	216.092
9.241	217.732
9.292	218.825
9.341	220.466
9.391	221.559
9.441	222.653
9.491	224.293
9.541	225.386
9.591	226.480
9.641	228.120
9.691	229.214
9.741	230.854
9.791	231.947
9.841	233.588
9.891	234.681
9.941	235.775
9.991	237.415
10.041	238.508
10.091	240.148
10.141	241.242
10.191	242.882
10.241	243.976
10.291	245.069
10.341	246.709
10.391	247.803
10.441	249.443
10.491	250.537
10.541	251.630
10.591	253.270
10.642	254.364
10.691	254.911
10.741	255.457
10.791	0.000
10.841	0.000
10.891	0.000
10.941	0.000
10.991	0.000
11.041	0.000
11.091	0.000
11.141	0.000
11.191	0.000
11.241	0.000
