Motion Through Fluids Experiment Wed, Mar 21, 2018 2:42 PM
Time(sec)	Position(mm)
0.008	0.000
0.059	0.000
0.108	0.000
0.158	0.000
0.208	0.000
0.258	0.000
0.308	0.000
0.358	0.000
0.408	0.000
0.458	0.000
0.508	0.000
0.558	0.000
0.608	0.000
0.658	0.000
0.708	0.000
0.758	0.000
0.808	0.000
0.858	0.000
0.908	0.000
0.958	0.000
1.008	0.000
1.058	0.000
1.108	0.000
1.158	0.000
1.208	0.000
1.258	0.000
1.308	0.000
1.359	0.000
1.408	0.000
1.458	0.000
1.508	0.000
1.558	0.000
1.608	0.000
1.658	0.000
1.709	0.000
1.758	0.000
1.808	0.000
1.858	0.000
1.909	0.000
1.958	0.675
2.008	0.675
2.058	1.222
2.108	1.768
2.158	2.315
2.208	2.862
2.258	3.409
2.308	3.955
2.358	5.049
2.408	5.595
2.458	6.142
2.508	6.689
2.558	7.236
2.608	7.782
2.658	8.876
2.708	9.423
2.758	9.969
2.808	10.516
2.858	11.063
2.908	11.610
2.958	12.703
3.008	13.250
3.058	13.797
3.108	14.343
3.158	14.890
3.208	15.984
3.258	16.530
3.308	17.077
3.358	17.624
3.408	18.171
3.458	18.717
3.508	19.264
3.558	20.358
3.608	20.904
3.658	21.451
3.708	21.998
3.758	22.545
3.808	23.091
3.858	24.185
3.908	24.732
3.958	25.278
4.008	25.825
4.058	26.372
4.108	27.465
4.158	28.012
4.208	28.559
4.258	29.105
4.308	29.652
4.358	30.199
4.408	31.292
4.458	31.839
4.508	32.386
4.558	32.933
4.608	33.479
4.658	34.026
4.708	35.120
4.758	35.666
4.809	36.213
4.858	36.760
4.908	37.307
4.958	37.853
5.008	38.947
5.058	39.494
5.108	40.040
5.158	40.587
5.208	41.134
5.259	41.681
5.308	42.227
5.358	43.321
5.409	43.868
5.458	44.414
5.508	44.961
5.558	45.508
5.608	46.055
5.658	46.601
5.708	47.695
5.758	48.241
5.808	48.788
5.858	49.335
5.908	49.882
5.958	50.975
6.008	51.522
6.058	52.069
6.108	52.615
6.158	53.162
6.208	53.709
6.258	54.802
6.308	55.349
6.358	55.896
6.408	56.443
6.458	56.989
6.508	57.536
6.558	58.083
6.608	59.176
6.658	59.723
6.708	60.270
6.758	60.817
6.808	61.363
6.858	62.457
6.909	63.004
6.958	63.550
7.008	64.097
7.058	64.644
7.108	65.191
7.158	65.737
7.208	66.831
7.258	67.378
7.309	67.924
7.358	68.471
7.408	69.018
7.458	70.111
7.508	70.658
7.558	71.205
7.609	71.751
7.658	72.298
7.708	72.845
7.758	73.938
7.808	74.485
7.858	75.032
7.908	75.579
7.958	76.125
8.008	76.672
8.058	77.766
8.108	78.312
8.158	78.859
8.208	79.406
8.258	79.953
8.308	80.499
8.358	81.046
8.409	82.140
8.458	82.686
8.508	83.233
8.558	83.780
8.608	84.327
8.658	84.873
8.708	85.420
8.758	86.514
8.808	87.060
8.858	87.607
8.908	88.154
8.958	88.701
9.008	89.247
9.058	90.341
9.108	90.887
9.158	91.434
9.208	91.981
9.258	92.528
9.308	93.074
9.358	94.168
9.408	94.715
9.458	95.261
9.508	95.808
9.558	96.355
9.608	96.902
9.658	97.995
9.708	98.542
9.758	99.089
9.808	99.635
9.858	100.182
9.908	100.729
9.958	101.822
10.008	102.369
10.058	102.916
10.108	103.463
10.158	104.009
10.208	104.556
10.258	105.103
10.308	106.196
10.358	106.743
10.408	107.290
10.458	107.837
10.508	108.383
10.558	109.477
10.608	110.024
10.658	110.570
10.708	111.117
10.758	111.664
10.808	112.210
10.858	113.304
10.908	113.851
10.958	114.397
11.008	114.944
11.058	115.491
11.108	116.038
11.158	116.584
11.208	117.678
11.258	118.225
11.308	118.771
11.358	119.318
11.408	119.865
11.458	120.412
11.508	121.505
11.558	122.052
11.608	122.599
11.658	123.145
11.708	123.692
11.758	124.239
11.808	124.786
11.858	125.879
11.908	126.426
11.959	126.973
12.008	127.519
12.058	128.066
12.108	128.613
12.158	129.160
12.208	130.253
12.258	130.800
12.308	131.347
12.358	131.893
12.408	132.440
12.458	132.987
12.508	134.080
12.558	134.627
12.609	135.174
12.658	135.720
12.708	136.267
12.758	136.814
12.808	137.907
12.859	138.454
12.908	139.001
12.958	139.548
13.009	140.094
13.058	140.641
13.108	141.735
13.158	142.281
13.208	142.828
13.258	143.375
13.309	143.922
13.358	144.468
13.408	145.562
13.459	146.109
13.508	146.655
13.558	147.202
13.608	147.749
13.658	148.296
13.708	149.389
13.759	149.936
13.808	150.483
13.858	151.029
13.908	151.576
13.958	152.123
14.008	153.216
14.058	153.763
14.108	154.310
14.158	154.856
14.208	155.403
14.258	155.950
