Motion Through Fluids Experiment Wed, Mar 21, 2018 3:07 PM
Time(sec)	Position(mm)
0.006	0.000
0.106	0.000
0.156	0.000
0.206	0.000
0.256	0.000
0.306	0.000
0.356	0.000
0.406	0.000
0.457	0.000
0.507	0.000
0.556	0.000
0.606	0.000
0.657	0.000
0.706	0.675
0.756	3.955
0.806	10.516
0.856	17.624
0.906	24.732
0.956	31.292
1.006	37.853
1.056	44.414
1.106	50.975
1.156	56.443
1.206	64.644
1.256	71.205
1.306	77.219
1.356	85.420
1.406	92.528
1.456	98.542
1.506	105.650
1.556	113.304
1.606	120.412
1.656	128.066
1.706	135.174
1.756	142.828
1.806	150.483
1.856	158.137
1.906	165.791
1.956	173.992
2.006	181.647
2.056	189.301
2.106	197.502
2.156	205.157
2.206	212.811
2.256	220.466
2.306	228.120
2.356	235.775
2.406	243.429
2.456	251.083
2.506	0.000
2.556	0.000
2.606	0.000
2.656	0.000
2.706	0.000
