Motion Through Fluids Experiment Wed, Mar 21, 2018 3:15 PM
Time(sec)	Position(mm)
0.038	0.000
0.087	2.315
0.137	7.236
0.187	11.610
0.237	16.530
0.287	20.904
0.337	25.825
0.387	31.292
0.437	36.213
0.487	41.134
0.538	46.055
0.587	50.975
0.637	56.443
0.687	61.363
0.737	66.831
0.788	71.751
0.837	76.672
0.887	82.140
0.937	87.060
0.987	91.981
1.037	97.448
1.087	102.916
1.137	107.837
1.187	113.304
1.237	118.771
1.287	124.239
1.337	129.160
1.387	134.627
1.437	140.094
1.487	145.562
1.537	151.029
1.587	156.497
1.637	161.964
1.687	167.432
1.737	172.899
1.787	178.366
1.837	183.834
1.887	189.301
1.937	194.769
1.987	200.236
2.037	205.704
2.087	211.171
2.137	216.638
2.187	222.106
2.237	228.120
2.287	233.041
2.337	239.055
2.387	243.976
2.437	249.443
2.487	254.364
2.537	0.000
2.587	0.000
2.637	0.000
2.687	0.000
2.737	0.000
2.787	0.000
2.838	0.000
