Motion Through Fluids Experiment Wed, Mar 21, 2018 3:20 PM
Time(sec)	Position(mm)
0.029	36.760
0.079	40.587
0.129	43.868
0.179	47.695
0.229	51.522
0.279	55.349
0.329	59.176
0.379	62.457
0.429	66.284
0.479	70.111
0.529	73.938
0.579	77.766
0.629	81.046
0.679	84.873
0.729	88.701
0.779	92.528
0.829	95.808
0.879	99.635
0.929	103.463
0.979	107.290
1.029	111.117
1.079	114.944
1.129	118.771
1.179	122.052
1.229	125.879
1.279	129.706
1.329	133.533
1.379	137.361
1.429	140.641
1.479	144.468
1.529	148.296
1.579	152.123
1.629	155.950
1.679	159.777
1.729	163.604
1.779	167.432
1.829	170.712
1.879	174.539
1.929	178.366
1.979	182.194
2.029	186.021
2.079	189.848
2.129	193.675
2.179	197.502
2.229	201.330
2.279	205.157
2.329	208.984
2.379	212.265
2.429	216.092
2.479	219.919
2.529	223.746
2.579	227.027
2.629	230.854
2.679	234.681
2.729	238.508
2.779	242.335
2.829	246.163
2.879	249.990
2.929	253.817
2.979	0.000
3.029	0.000
3.079	0.000
