Motion Through Fluids Experiment Wed, Mar 21, 2018 3:09 PM
Time(sec)	Position(mm)
0.020	0.000
0.120	0.000
0.170	0.000
0.220	0.000
0.270	0.675
0.320	3.409
0.370	8.876
0.420	13.250
0.470	18.171
0.520	22.545
0.570	26.918
0.620	31.839
0.670	37.307
0.720	42.774
0.770	48.241
0.820	54.256
0.870	59.723
0.920	65.737
0.971	71.751
1.020	77.766
1.070	83.233
1.120	89.247
1.170	94.715
1.220	100.729
1.270	106.743
1.320	112.210
1.370	118.225
1.420	124.239
1.470	130.253
1.520	136.267
1.570	141.188
1.620	147.749
1.670	154.310
1.720	160.324
1.770	165.791
1.820	171.806
1.871	177.820
1.920	184.381
1.970	190.395
2.020	196.409
2.070	202.970
2.120	208.984
2.170	214.998
2.220	221.012
2.270	227.027
2.320	233.041
2.370	239.055
2.420	245.069
2.470	251.083
2.520	0.000
2.570	0.000
2.620	0.000
2.670	0.000
2.720	0.000
2.770	0.000
2.820	0.000
2.870	0.000
2.920	0.000
2.970	0.000
