Motion Through Fluids Experiment Wed, Mar 21, 2018 3:19 PM
Time(sec)	Position(mm)
0.030	0.000
0.130	0.000
0.180	0.000
0.230	0.000
0.280	0.000
0.330	0.000
0.380	0.000
0.430	0.000
0.480	0.000
0.530	0.000
0.580	0.000
0.630	0.000
0.681	0.000
0.730	0.000
0.780	0.000
0.830	0.000
0.880	0.000
0.930	0.000
0.981	0.000
1.030	0.000
1.080	0.000
1.131	0.000
1.180	0.000
1.230	0.000
1.280	0.000
1.330	0.000
1.381	0.000
1.430	3.409
1.480	6.689
1.530	9.969
1.580	12.703
1.630	15.984
1.680	19.264
1.730	22.545
1.780	25.825
1.830	29.105
1.880	32.386
1.930	35.666
1.980	38.947
2.030	42.227
2.080	45.508
2.130	48.788
2.180	52.069
2.230	55.349
2.280	59.176
2.330	61.910
2.380	65.191
2.430	68.471
2.480	71.751
2.530	75.579
2.580	78.859
2.631	82.140
2.680	85.420
2.730	88.701
2.780	91.981
2.830	95.261
2.880	98.542
2.930	101.822
2.980	105.103
3.030	108.383
3.080	112.210
3.130	114.944
3.180	118.225
3.230	122.052
3.280	125.332
3.330	128.613
3.381	131.893
3.430	135.174
3.480	138.454
3.530	141.735
3.580	144.468
3.630	148.296
3.680	151.029
3.730	154.856
3.780	158.137
3.830	161.417
3.880	164.698
3.930	167.978
3.980	171.259
4.030	174.539
4.080	177.820
4.130	181.100
4.180	184.381
4.230	187.661
4.280	190.942
4.330	194.222
4.380	197.502
4.430	200.783
4.480	204.610
4.530	207.891
4.580	211.171
4.630	214.452
4.680	217.732
4.730	221.012
4.780	224.293
4.830	227.573
4.880	230.854
4.930	234.134
4.980	237.962
5.030	240.695
5.080	244.522
5.130	247.803
5.180	251.083
5.230	254.364
5.280	0.000
5.331	0.000
5.380	0.000
5.430	0.000
