Motion Through Fluids Experiment Wed, Mar 21, 2018 2:40 PM
Time(sec)	Position(mm)
0.048	0.000
0.098	0.000
0.148	0.000
0.198	0.000
0.248	0.000
0.298	0.000
0.348	0.000
0.398	0.000
0.448	0.000
0.499	0.000
0.548	0.000
0.598	0.000
0.648	0.000
0.698	0.000
0.749	0.000
0.798	0.000
0.848	0.000
0.898	0.000
0.948	0.000
0.998	0.000
1.048	0.000
1.098	0.000
1.148	0.000
1.198	0.000
1.248	0.675
1.298	1.768
1.348	2.315
1.398	3.955
1.448	5.049
1.498	6.689
1.548	7.782
1.598	9.423
1.648	10.516
1.698	11.610
1.748	13.250
1.798	14.343
1.848	15.984
1.898	17.077
1.948	18.717
1.998	19.811
2.048	21.451
2.098	22.545
2.148	24.185
2.198	25.278
2.248	26.372
2.298	28.012
2.348	29.105
2.398	30.746
2.449	31.839
2.498	32.933
2.548	34.573
2.598	35.666
2.648	37.307
2.699	38.400
2.748	40.040
2.798	41.134
2.848	42.774
2.898	43.868
2.949	45.508
2.998	46.601
3.048	48.241
3.098	49.335
3.148	50.975
3.198	52.069
3.248	53.709
3.298	54.802
3.348	56.443
3.398	57.536
3.448	58.630
3.499	60.270
3.548	61.910
3.598	63.004
3.648	64.097
3.698	65.737
3.748	66.831
3.798	68.471
3.848	69.564
3.898	71.205
3.948	72.298
3.998	73.938
4.048	75.032
4.098	76.672
4.148	77.766
4.198	79.406
4.248	80.499
4.298	81.593
4.348	83.233
4.398	84.327
4.448	85.967
4.498	87.060
4.548	88.701
4.598	89.794
4.648	91.434
4.698	92.528
4.748	94.168
4.798	95.261
4.848	96.902
4.898	97.995
4.948	99.635
4.998	100.729
5.049	102.369
5.098	103.463
5.148	105.103
5.198	106.196
5.249	107.837
5.298	108.930
5.348	110.024
5.398	111.664
5.448	112.757
5.498	113.851
5.548	115.491
5.598	116.584
5.648	118.225
5.698	119.865
5.749	120.958
5.798	122.052
5.848	123.692
5.898	124.786
5.948	126.426
5.998	127.519
6.048	129.160
6.098	130.253
6.148	131.893
6.198	132.987
6.248	134.080
6.298	135.720
6.348	137.361
6.398	138.454
6.448	139.548
6.499	141.188
6.548	142.281
6.598	143.922
6.648	145.015
6.698	146.655
6.748	147.749
6.798	149.389
6.848	150.483
6.898	152.123
6.948	153.216
6.998	154.856
7.048	155.950
7.098	157.043
7.148	158.684
7.198	159.777
7.248	161.417
7.298	162.511
7.348	164.151
7.398	165.245
7.449	166.885
7.498	167.978
7.548	169.619
7.598	170.712
7.648	171.806
7.698	173.446
7.748	174.539
7.798	176.179
7.848	177.273
7.899	178.913
7.948	180.007
7.998	181.647
8.048	182.740
8.098	184.381
8.148	185.474
8.199	187.114
8.248	188.208
8.298	189.848
8.348	190.942
8.398	192.035
8.448	193.675
8.498	194.769
8.548	196.409
8.598	197.502
8.649	199.143
8.698	200.236
8.748	201.330
8.798	202.970
8.848	204.063
8.898	205.704
8.948	206.797
8.998	208.437
9.048	209.531
9.098	211.171
9.148	212.265
9.199	213.358
9.248	214.998
9.299	216.092
9.348	217.732
9.398	218.825
9.448	220.466
9.498	221.559
9.548	223.199
9.598	224.293
9.648	225.933
9.698	227.027
9.748	228.120
9.798	229.760
9.848	230.854
9.898	232.494
9.948	233.588
9.998	235.228
10.048	236.321
10.098	237.962
10.148	239.055
10.198	240.695
10.248	241.789
10.298	243.429
10.348	244.522
10.398	245.616
10.448	247.256
10.498	248.350
10.549	249.990
10.598	251.083
10.648	252.177
10.698	253.817
10.748	254.364
10.798	254.911
10.848	0.000
10.898	0.000
10.948	0.000
10.999	0.000
11.048	0.000
11.098	0.000
11.148	0.000
11.198	0.000
11.248	0.000
