Motion Through Fluids Experiment Wed, Mar 21, 2018 3:07 PM
Time(sec)	Position(mm)
0.044	0.000
0.094	0.000
0.144	0.000
0.194	0.000
0.244	0.000
0.294	0.000
0.344	0.000
0.394	0.000
0.444	0.000
0.494	1.222
0.544	5.595
0.594	11.610
0.644	17.624
0.694	23.638
0.744	29.105
0.794	34.573
0.844	40.587
0.894	46.601
0.945	53.162
0.994	60.270
1.044	66.831
1.094	73.938
1.144	81.593
1.194	88.701
1.294	104.556
1.344	112.210
1.394	119.865
1.444	128.066
1.494	135.720
1.544	143.375
1.594	151.029
1.644	158.684
1.694	165.791
1.745	173.446
1.794	180.553
1.844	188.208
1.894	195.862
1.944	203.517
1.994	210.624
2.045	218.825
2.094	226.480
2.144	234.134
2.194	242.335
2.244	249.990
2.294	255.457
2.345	0.000
2.394	0.000
2.444	0.000
2.494	0.000
2.544	0.000
2.594	0.000
2.644	0.000
2.694	0.000
2.744	0.000
2.794	0.000
