Motion Through Fluids Experiment Wed, Mar 21, 2018 2:38 PM
Time(sec)	Position(mm)
0.022	0.000
0.072	0.000
0.122	0.000
0.172	0.000
0.222	0.000
0.272	0.000
0.323	0.000
0.372	0.000
0.422	0.000
0.472	0.000
0.522	0.000
0.572	0.000
0.623	0.000
0.672	0.000
0.722	0.000
0.772	0.000
0.822	0.000
0.872	0.675
0.922	1.222
0.972	2.315
1.022	3.955
1.072	6.142
1.122	8.329
1.172	10.516
1.222	12.703
1.272	14.890
1.323	17.077
1.373	19.264
1.422	21.451
1.472	23.638
1.522	26.372
1.572	28.559
1.622	30.746
1.672	32.933
1.722	35.120
1.772	37.307
1.822	39.494
1.872	41.681
1.922	44.414
1.972	46.601
2.022	48.788
2.072	50.975
2.122	53.162
2.172	55.349
2.222	57.536
2.272	59.723
2.322	62.457
2.372	64.644
2.422	66.831
2.473	69.018
2.522	71.205
2.572	73.392
2.622	75.579
2.672	77.766
2.722	80.499
2.772	82.686
2.822	84.873
2.872	86.514
2.922	89.247
2.972	91.434
3.022	93.621
3.072	95.808
3.122	97.995
3.172	100.182
3.222	102.369
3.272	104.556
3.322	107.290
3.372	109.477
3.422	111.664
3.472	113.851
3.523	116.038
3.572	118.225
3.623	120.412
3.672	122.599
3.722	124.786
3.772	127.519
3.822	129.706
3.872	131.893
3.922	134.080
3.972	136.267
4.022	138.454
4.072	140.641
4.122	142.828
4.172	145.562
4.222	147.749
4.272	149.936
4.322	152.123
4.372	154.310
4.422	156.497
4.472	158.684
4.522	160.871
4.572	163.604
4.623	165.791
4.672	167.978
4.722	170.165
4.772	172.352
4.822	174.539
4.872	176.726
4.922	178.913
4.972	181.100
5.022	183.834
5.072	186.021
5.122	188.208
5.172	190.395
5.222	192.582
5.272	194.769
5.322	196.956
5.372	199.143
5.422	201.876
5.472	204.063
5.522	206.250
5.572	208.437
5.622	210.624
5.672	212.811
5.722	214.998
5.772	217.185
5.822	219.372
5.872	221.559
5.922	223.746
5.972	225.933
6.022	228.120
6.072	230.307
6.122	233.041
6.172	235.228
6.222	237.415
6.272	239.602
6.322	241.789
6.372	243.976
6.422	246.163
6.472	248.350
6.522	251.083
6.573	253.270
6.622	254.364
6.672	255.457
6.722	0.000
6.772	0.000
6.822	0.000
6.872	0.000
6.922	0.000
6.972	0.000
7.022	0.000
7.072	0.000
7.122	0.000
7.172	0.000
7.222	0.000
