Motion Through Fluids Experiment Wed, Mar 21, 2018 3:12 PM
Time(sec)	Position(mm)
0.014	0.000
0.064	0.000
0.114	0.000
0.164	0.000
0.214	0.000
0.264	0.000
0.314	0.000
0.365	1.222
0.414	5.049
0.465	9.969
0.514	14.343
0.564	19.264
0.614	24.185
0.664	29.105
0.714	34.573
0.764	40.040
0.814	45.508
0.864	50.975
0.914	55.896
0.964	61.363
1.014	66.284
1.064	71.751
1.114	77.219
1.164	82.140
1.214	87.607
1.264	93.074
1.314	98.542
1.364	104.009
1.414	109.477
1.464	114.944
1.514	120.412
1.564	126.426
1.614	131.893
1.664	137.361
1.714	142.828
1.764	147.749
1.814	153.216
1.864	158.137
1.914	163.604
1.964	169.072
2.014	173.992
2.064	179.460
2.114	184.927
2.164	190.395
2.214	195.862
2.264	201.330
2.314	206.797
2.364	212.265
2.414	217.732
2.464	222.653
2.514	228.120
2.564	233.588
2.614	238.508
2.664	245.069
2.714	249.443
2.764	254.911
2.814	0.000
2.864	0.000
2.914	0.000
2.964	0.000
3.014	0.000
3.064	0.000
3.114	0.000
3.164	0.000
3.214	0.000
3.264	0.000
3.314	0.000
3.364	0.000
