Motion Through Fluids Experiment Wed, Mar 21, 2018 3:00 PM
Time(sec)	Position(mm)
0.038	0.000
0.138	0.000
0.238	0.000
0.338	0.000
0.438	0.000
0.538	0.000
0.638	0.000
0.738	0.000
0.838	0.000
0.938	0.000
1.038	0.000
1.138	0.000
1.238	0.000
1.338	0.000
1.438	0.000
1.538	0.000
1.638	0.000
1.738	0.000
1.838	0.000
1.938	0.000
2.038	0.000
2.138	0.000
2.238	0.000
2.338	0.000
2.438	0.000
2.538	0.000
2.638	0.000
2.738	0.000
2.838	0.000
2.938	0.000
3.038	0.000
3.138	0.000
3.238	0.000
3.338	0.000
3.439	0.000
3.539	0.000
3.638	0.000
3.739	0.000
3.838	0.000
3.938	0.000
4.038	0.000
4.138	0.000
4.238	0.000
4.338	0.000
4.438	0.000
4.538	0.000
4.638	0.000
4.738	0.000
4.838	0.000
4.938	0.000
5.038	0.000
5.138	0.000
5.238	0.000
5.338	0.000
5.439	0.000
5.538	0.000
5.638	0.000
5.738	0.000
5.838	0.000
5.938	0.000
6.038	0.000
6.138	0.000
6.238	0.000
6.338	0.000
6.438	0.000
6.538	0.000
6.638	0.000
6.738	0.000
6.838	0.000
6.938	0.000
7.038	0.000
7.138	0.000
7.238	0.000
7.338	0.000
7.438	0.000
7.538	0.000
7.638	0.000
7.738	0.000
7.838	0.000
7.938	0.000
8.039	0.000
8.138	0.000
8.238	0.000
8.338	0.000
8.438	0.000
8.538	0.000
8.638	0.000
8.738	0.000
8.838	0.000
8.938	0.000
9.038	0.000
9.138	0.000
9.238	0.000
9.338	0.000
9.438	0.000
9.538	0.000
9.638	0.000
9.738	0.000
9.838	0.000
9.938	0.000
10.038	0.000
10.138	0.000
10.238	0.000
10.338	0.000
10.438	0.000
10.538	0.000
10.638	0.000
10.738	0.000
10.838	0.000
10.938	0.000
11.038	0.000
11.138	0.000
11.238	0.000
11.338	0.000
11.438	0.000
11.538	0.000
11.638	0.000
11.738	0.000
11.838	0.000
11.938	0.000
12.038	0.000
12.138	0.000
12.238	31.839
12.338	0.000
12.438	0.000
12.538	0.000
12.638	0.000
12.738	0.000
12.838	0.000
12.938	0.000
13.038	0.000
13.138	0.000
13.238	0.000
13.338	0.000
13.438	0.000
13.539	0.000
13.638	0.000
13.738	0.000
13.838	0.000
13.938	0.000
14.038	0.000
14.138	0.000
14.238	0.000
14.338	0.000
14.438	0.000
14.538	0.000
14.638	0.000
14.738	0.000
14.838	0.000
14.938	0.000
15.038	0.000
15.138	0.000
15.238	0.000
15.338	0.000
15.438	0.000
15.538	0.000
15.638	0.000
15.738	44.961
15.838	0.000
15.938	0.000
16.038	0.000
16.139	46.601
16.238	0.000
16.338	47.148
16.438	0.000
16.538	0.000
16.638	0.000
16.738	48.788
16.838	49.335
16.938	49.335
17.038	0.000
17.138	0.000
17.238	0.000
17.338	50.975
17.438	51.522
17.538	0.000
17.638	52.069
17.738	0.000
17.838	0.000
17.938	53.162
18.038	0.000
18.138	53.709
18.238	54.256
18.338	0.000
18.438	54.802
18.538	55.349
18.638	55.896
18.738	55.896
18.838	56.443
18.938	0.000
19.038	0.000
19.138	0.000
19.238	0.000
19.338	58.083
19.438	0.000
19.538	59.176
19.638	0.000
19.738	59.723
19.838	0.000
19.938	0.000
20.038	60.817
20.138	61.363
20.238	61.910
20.338	61.910
20.438	62.457
20.538	63.004
20.638	63.004
20.738	63.550
20.838	0.000
20.938	64.097
21.038	64.644
21.138	65.191
21.238	0.000
21.338	65.737
21.438	66.284
21.538	66.284
21.638	66.831
21.738	67.378
21.838	0.000
21.938	67.924
22.038	68.471
22.138	69.018
22.238	69.018
22.338	69.564
22.438	70.111
22.538	70.111
22.638	70.658
22.738	70.658
22.838	71.205
22.938	71.751
23.038	72.298
23.138	72.298
23.238	72.845
23.338	73.392
23.438	73.392
23.538	73.938
23.638	74.485
23.738	74.485
23.838	75.032
23.938	75.579
24.038	75.579
24.138	76.125
24.238	76.672
24.338	0.000
24.438	77.219
24.539	77.766
24.639	78.312
24.738	78.312
24.838	78.859
24.938	79.406
25.038	79.406
25.138	79.953
25.238	0.000
25.338	80.499
25.438	81.046
25.538	81.046
25.638	81.593
25.738	82.140
25.838	82.686
25.938	0.000
26.038	83.233
26.138	83.780
26.238	83.780
26.338	84.327
26.438	84.873
26.538	0.000
26.638	85.420
26.738	85.967
26.838	0.000
26.938	86.514
27.038	87.060
27.138	87.607
27.238	87.607
27.338	88.154
27.438	0.000
27.538	88.701
27.638	89.247
27.738	89.794
27.838	89.794
27.938	90.341
28.038	0.000
28.138	90.887
28.238	91.434
28.338	0.000
28.438	91.981
28.538	92.528
28.638	93.074
28.738	0.000
28.838	93.621
28.938	0.000
29.038	94.168
29.138	94.715
29.238	95.261
29.338	95.808
29.438	95.808
29.538	96.355
29.638	96.902
29.738	96.902
29.838	97.448
29.938	0.000
30.038	97.995
30.138	98.542
30.238	98.542
30.338	99.089
30.438	99.635
30.538	99.635
30.638	100.182
30.739	100.729
30.838	0.000
30.938	101.276
31.038	101.822
31.138	102.369
31.238	102.369
31.338	102.916
31.438	102.916
31.538	103.463
31.638	104.009
