Motion Through Fluids Experiment Wed, Mar 21, 2018 3:17 PM
Time(sec)	Position(mm)
0.024	0.000
0.124	0.000
0.224	0.000
0.274	0.000
0.324	0.000
0.374	0.000
0.424	0.000
0.474	0.000
0.524	0.000
0.574	0.000
0.624	0.000
0.674	0.000
0.724	0.000
0.774	0.000
0.824	0.000
0.874	0.000
0.924	0.675
0.975	4.502
1.024	8.329
1.074	12.156
1.124	16.530
1.174	20.358
1.224	24.732
1.274	28.559
1.324	32.933
1.374	36.760
1.424	41.134
1.474	45.508
1.524	49.335
1.574	53.709
1.624	57.536
1.674	61.910
1.724	66.284
1.774	70.658
1.824	75.032
1.874	79.406
1.924	83.780
1.974	88.154
2.024	92.528
2.074	96.902
2.124	101.276
2.174	105.650
2.224	110.024
2.275	114.397
2.324	118.771
2.374	123.145
2.424	127.519
2.474	131.893
2.524	136.267
2.574	140.641
2.625	145.015
2.675	149.389
2.724	153.763
2.774	158.137
2.824	161.964
2.874	166.885
2.924	170.712
2.974	175.086
3.024	179.460
3.074	183.834
3.124	188.208
3.174	192.582
3.224	196.956
3.274	200.236
3.324	205.157
3.374	208.984
3.424	213.358
3.474	217.732
3.524	221.559
3.574	225.933
3.624	230.307
3.675	234.681
3.724	239.055
3.774	242.882
3.825	247.256
3.874	251.630
3.924	255.457
3.974	0.000
4.024	0.000
4.074	0.000
