Motion Through Fluids Experiment Wed, Mar 21, 2018 3:10 PM
Time(sec)	Position(mm)
0.048	0.000
0.098	0.000
0.148	0.000
0.198	0.000
0.248	0.000
0.298	0.000
0.348	0.000
0.398	0.000
0.448	1.768
0.498	7.236
0.548	12.156
0.598	16.530
0.648	20.904
0.698	25.825
0.748	30.746
0.799	35.666
0.848	41.134
0.898	46.601
0.948	52.069
0.998	57.536
1.049	63.004
1.098	69.018
1.148	74.485
1.198	80.499
1.248	85.967
1.298	91.981
1.348	97.448
1.398	103.463
1.448	108.930
1.499	114.944
1.548	120.958
1.598	126.973
1.648	132.987
1.698	139.001
1.748	145.015
1.798	151.029
1.848	157.043
1.898	163.058
1.948	169.072
1.998	175.086
2.048	181.100
2.098	187.114
2.148	193.129
2.198	199.143
2.248	205.157
2.298	211.718
2.349	217.732
2.398	223.746
2.448	229.760
2.498	236.321
2.548	242.335
2.598	248.896
2.648	254.364
2.698	0.000
2.748	0.000
2.798	0.000
2.849	0.000
