Motion Through Fluids Experiment Wed, Mar 21, 2018 3:16 PM
Time(sec)	Position(mm)
0.011	0.000
0.110	3.955
0.160	8.329
0.210	12.703
0.260	17.077
0.310	21.451
0.360	25.278
0.410	30.746
0.460	35.120
0.510	38.947
0.560	43.868
0.610	47.695
0.660	52.069
0.710	56.989
0.760	61.363
0.810	66.284
0.860	70.658
0.910	75.579
0.960	79.953
1.010	84.873
1.060	89.247
1.110	94.168
1.160	98.542
1.210	103.463
1.260	107.837
1.310	112.757
1.360	117.131
1.410	122.052
1.460	126.973
1.510	131.347
1.560	136.267
1.610	141.188
1.660	146.109
1.710	150.483
1.760	155.403
1.810	160.324
1.860	165.245
1.910	169.619
1.960	174.539
2.010	179.460
2.060	183.834
2.110	188.755
2.160	193.675
2.211	198.596
2.260	202.970
2.310	207.891
2.360	212.811
2.410	217.185
2.460	222.106
2.510	227.027
2.560	231.947
2.611	236.321
2.661	241.242
2.710	246.163
2.760	250.537
2.810	254.911
2.860	0.000
2.910	0.000
