Motion Through Fluids Experiment Wed, Mar 21, 2018 3:22 PM
Time(sec)	Position(mm)
0.043	0.000
0.142	0.000
0.192	0.000
0.242	0.000
0.292	0.000
0.342	0.000
0.392	0.000
0.442	0.000
0.492	0.000
0.542	0.000
0.592	0.000
0.642	0.000
0.692	0.000
0.742	0.000
0.792	0.000
0.842	0.000
0.893	0.000
0.942	0.000
0.992	0.000
1.042	0.000
1.092	0.000
1.142	0.000
1.192	0.000
1.242	0.000
1.292	0.000
1.342	0.000
1.392	0.000
1.442	0.000
1.492	0.000
1.542	0.000
1.592	0.000
1.642	2.315
1.692	6.142
1.742	9.423
1.792	12.703
1.842	16.530
1.892	19.811
1.942	23.638
1.992	26.918
2.042	30.199
2.092	34.026
2.142	37.307
2.192	41.134
2.242	44.414
2.292	48.241
2.342	51.522
2.392	55.349
2.442	58.630
2.492	62.457
2.542	65.737
2.593	69.564
2.642	72.298
2.692	76.672
2.742	79.406
2.792	83.233
2.842	86.514
2.892	90.341
2.942	93.621
2.992	97.448
3.042	101.276
3.092	104.556
3.142	107.837
3.192	111.664
3.242	115.491
3.292	118.771
3.342	122.599
3.392	125.879
3.442	129.706
3.492	132.987
3.542	136.814
3.592	140.094
3.642	143.922
3.692	147.749
3.742	151.029
3.792	154.856
3.842	158.137
3.892	161.964
3.942	165.245
3.992	169.072
4.042	172.899
4.092	176.179
4.142	180.007
4.192	183.287
4.242	187.114
4.293	190.395
4.342	194.222
4.392	197.502
4.442	201.330
4.493	205.157
4.542	208.437
4.592	212.265
4.642	215.545
4.692	219.372
4.742	222.653
4.792	226.480
4.842	229.760
4.892	233.588
4.942	237.415
4.992	240.695
5.042	244.522
5.092	248.350
5.142	251.630
5.192	255.457
5.242	0.000
5.292	0.000
5.342	0.000
5.392	0.000
5.443	0.000
5.492	0.000
5.542	0.000
5.592	0.000
