Motion Through Fluids Experiment Wed, Mar 21, 2018 3:18 PM
Time(sec)	Position(mm)
0.012	0.000
0.111	0.000
0.161	0.000
0.211	0.000
0.261	0.000
0.311	0.000
0.361	0.000
0.411	0.000
0.461	0.000
0.511	0.000
0.561	0.000
0.611	0.000
0.661	0.000
0.711	0.000
0.761	0.000
0.811	0.000
0.861	0.000
0.911	0.000
0.961	0.000
1.011	0.000
1.061	2.315
1.112	7.236
1.161	10.516
1.211	14.890
1.261	19.264
1.311	23.638
1.361	28.012
1.411	32.386
1.461	36.760
1.512	41.134
1.561	45.508
1.611	49.882
1.661	54.256
1.711	58.630
1.761	63.004
1.811	67.924
1.861	72.298
1.911	76.672
1.961	81.046
2.011	85.420
2.061	89.794
2.111	94.715
2.161	99.089
2.211	103.463
2.261	108.383
2.311	112.757
2.361	117.131
2.411	122.052
2.461	126.426
2.511	131.347
2.561	135.720
2.611	140.094
2.661	144.468
2.711	149.389
2.761	153.763
2.811	158.137
2.861	162.511
2.911	166.885
2.961	171.806
3.011	176.179
3.061	181.100
3.111	185.474
3.161	189.848
3.211	194.769
3.261	199.143
3.311	204.063
3.361	208.437
3.411	212.811
3.461	217.732
3.511	222.106
3.561	226.480
3.611	230.854
3.661	235.228
3.711	239.602
3.761	243.429
3.811	247.803
3.861	252.724
3.911	255.457
3.961	0.000
4.011	0.000
4.061	0.000
4.111	0.000
