Motion Through Fluids Experiment Wed, Mar 21, 2018 2:49 PM
Time(sec)	Position(mm)
0.017	0.000
0.112	0.000
0.162	0.000
0.213	0.000
0.262	0.000
0.312	0.000
0.362	0.000
0.412	0.000
0.462	0.000
0.512	0.000
0.563	0.000
0.612	0.000
0.662	0.000
0.712	0.000
0.762	0.000
0.812	0.000
0.862	0.000
0.912	0.000
0.962	0.000
1.012	0.000
1.063	0.000
1.112	0.000
1.162	0.000
1.212	0.000
1.262	0.000
1.312	0.000
1.362	0.000
1.412	0.000
1.462	0.000
1.512	0.000
1.562	0.000
1.612	0.000
1.662	0.675
1.712	0.675
1.762	0.675
1.812	1.222
1.862	1.222
1.912	1.768
1.962	1.768
2.012	2.315
2.063	2.862
2.112	3.409
2.162	3.409
2.212	3.955
2.262	4.502
2.312	4.502
2.362	5.049
2.412	5.595
2.462	5.595
2.512	6.142
2.562	6.689
2.613	6.689
2.662	7.236
2.712	7.782
2.762	7.782
2.812	8.329
2.863	8.876
2.912	9.423
2.962	9.423
3.012	9.969
3.062	9.969
3.112	10.516
3.162	11.063
3.212	11.610
3.262	11.610
3.313	12.156
3.362	12.703
3.412	12.703
3.463	13.250
3.512	13.797
3.562	13.797
3.613	14.343
3.662	14.343
3.712	14.890
3.762	15.437
3.812	15.437
3.862	15.984
3.912	16.530
3.963	16.530
4.012	17.077
4.062	17.624
4.112	18.171
4.162	18.171
4.212	18.717
4.262	19.264
4.312	19.264
4.362	19.811
4.412	20.358
4.462	20.358
4.512	20.904
4.562	21.451
4.612	21.451
4.662	21.998
4.712	22.545
4.762	22.545
4.812	23.091
4.862	23.638
4.912	23.638
4.962	24.185
5.012	24.732
5.062	24.732
5.112	25.278
5.162	25.825
5.213	25.825
5.262	26.372
5.312	26.918
5.362	26.918
5.412	27.465
5.462	28.012
5.512	28.012
5.562	28.559
5.612	29.105
5.662	29.105
5.712	29.652
5.762	30.199
5.812	30.199
5.862	30.746
5.912	31.292
5.962	31.292
6.012	31.839
6.062	32.386
6.113	32.386
6.162	32.933
6.212	33.479
6.262	33.479
6.312	34.026
6.363	34.573
6.412	34.573
6.462	35.120
6.512	35.666
6.562	35.666
6.612	36.213
6.662	36.760
6.712	37.307
6.763	37.307
6.812	37.853
6.862	38.400
6.912	38.400
6.962	38.947
7.012	39.494
7.062	39.494
7.112	40.040
7.162	40.587
7.212	40.587
7.262	41.134
7.312	41.681
7.362	41.681
7.412	42.227
7.462	42.774
7.512	42.774
7.562	43.321
7.612	43.868
7.662	43.868
7.712	44.414
7.762	44.961
7.812	44.961
7.862	45.508
7.912	46.055
7.962	46.055
8.012	46.601
8.062	47.148
8.112	47.148
8.162	47.695
8.212	48.241
8.262	48.241
8.312	48.788
8.362	49.335
8.412	49.335
8.462	49.882
8.512	50.428
8.562	50.428
8.612	50.975
8.662	51.522
8.712	51.522
8.762	52.069
8.812	52.615
8.862	52.615
8.912	53.162
8.962	53.709
9.012	53.709
