Motion Through Fluids Experiment Wed, Mar 21, 2018 2:48 PM
Time(sec)	Position(mm)
0.023	0.000
0.073	0.000
0.123	0.000
0.173	0.000
0.224	0.000
0.273	0.000
0.323	0.000
0.373	0.000
0.423	0.000
0.473	0.000
0.523	0.000
0.573	0.000
0.624	0.000
0.673	0.000
0.723	0.000
0.773	0.000
0.824	0.000
0.873	0.000
0.923	0.000
0.973	0.000
1.023	0.000
1.073	0.000
1.123	0.000
1.173	0.000
1.223	0.000
1.273	0.000
1.323	0.000
1.373	0.000
1.423	0.000
1.473	0.000
1.523	0.000
1.573	0.000
1.623	0.000
1.673	0.000
1.723	0.000
1.773	0.000
1.823	0.000
1.873	0.000
1.923	0.000
1.973	0.000
2.023	0.000
2.073	0.000
2.123	0.000
2.173	0.000
2.223	0.000
2.274	0.000
2.323	0.000
2.373	0.000
2.423	0.675
2.473	0.675
2.523	1.222
2.573	1.222
2.623	1.768
2.673	2.315
2.723	2.862
2.773	2.862
2.823	3.409
2.873	3.955
2.923	3.955
2.973	4.502
3.023	5.049
3.073	5.595
3.123	5.595
3.173	6.142
3.223	6.689
3.273	6.689
3.323	7.236
3.373	7.782
3.423	7.782
3.474	8.329
3.523	8.876
3.574	8.876
3.623	9.423
3.673	9.969
3.723	9.969
3.773	10.516
3.823	11.063
3.873	11.063
3.923	11.610
3.973	12.156
4.023	12.156
4.073	12.703
4.123	13.250
4.173	13.250
4.223	13.797
4.273	14.343
4.323	14.343
4.373	14.890
4.423	15.437
4.473	15.437
4.523	15.984
4.573	16.530
4.623	16.530
4.673	17.077
4.723	17.624
4.773	17.624
4.823	18.171
4.873	18.717
4.923	18.717
4.973	19.264
5.023	19.811
5.073	19.811
5.123	20.358
5.173	20.904
5.223	20.904
5.273	21.451
5.323	21.998
5.373	21.998
5.423	22.545
5.473	23.091
5.523	23.638
5.573	23.638
5.623	24.185
5.674	24.732
5.723	24.732
5.773	25.278
5.823	25.278
5.873	25.825
5.924	26.372
5.973	26.918
6.023	26.918
6.073	27.465
6.123	28.012
6.173	28.012
6.223	28.559
6.273	29.105
6.324	29.105
6.373	29.652
6.423	30.199
6.473	30.199
6.523	30.746
6.573	31.292
6.623	31.292
6.673	31.839
6.723	32.386
6.773	32.386
6.823	32.933
6.873	33.479
6.923	33.479
6.973	34.026
7.023	34.573
7.073	35.120
7.123	35.120
7.173	35.666
7.223	35.666
7.273	36.213
7.323	36.760
7.373	37.307
7.423	37.307
7.473	37.853
7.523	38.400
7.573	38.400
7.623	38.947
7.673	39.494
7.723	39.494
7.773	40.040
7.823	40.587
7.873	40.587
7.923	41.134
7.973	41.681
8.023	41.681
8.073	42.227
8.123	42.774
8.173	42.774
8.223	43.321
8.273	43.868
8.323	43.868
8.373	44.414
8.423	44.961
8.473	44.961
8.523	45.508
8.573	46.055
8.623	46.055
8.673	46.601
8.723	47.148
8.773	47.148
8.823	47.695
8.874	48.241
8.923	48.788
8.973	48.788
9.023	49.335
9.073	49.335
9.123	49.882
9.173	50.428
9.223	50.975
9.273	50.975
9.323	51.522
9.373	52.069
9.423	52.069
9.473	52.615
9.523	53.162
9.573	53.162
9.623	53.709
9.673	54.256
9.723	54.256
9.773	54.802
9.823	55.349
9.873	55.349
9.923	55.896
9.973	56.443
10.023	56.443
10.073	56.989
10.123	57.536
10.173	57.536
10.223	58.083
10.273	58.630
10.323	58.630
10.374	59.176
10.423	59.723
10.473	59.723
10.523	60.270
10.574	60.817
10.623	61.363
10.673	61.363
10.723	61.910
10.773	62.457
10.823	62.457
10.873	63.004
10.923	63.550
10.973	63.550
11.023	64.097
11.073	64.644
11.123	64.644
11.173	65.191
11.223	65.737
11.274	65.737
11.323	66.284
11.373	66.831
11.423	66.831
11.473	67.378
11.523	67.924
