Motion Through Fluids Experiment Wed, Mar 21, 2018 3:03 PM
Time(sec)	Position(mm)
0.052	0.000
0.153	0.000
0.252	8.329
0.352	0.000
0.452	0.000
0.553	0.000
0.653	0.000
0.752	0.000
0.852	0.000
0.952	0.000
1.052	0.000
1.152	0.000
1.252	0.000
1.352	0.000
1.452	0.000
1.552	9.969
1.652	9.969
1.752	9.969
1.852	9.969
1.952	10.516
2.052	10.516
2.152	11.063
2.252	10.516
2.352	10.516
2.452	9.969
2.552	9.969
2.652	9.969
2.752	9.969
2.852	9.969
2.952	9.969
3.052	10.516
3.152	10.516
3.252	10.516
3.352	11.063
3.452	11.610
3.552	12.156
3.652	12.156
3.752	12.703
3.852	13.250
3.952	13.250
4.052	13.797
4.152	14.343
4.252	14.343
4.352	14.890
4.452	15.437
4.552	15.437
4.652	15.984
4.752	16.530
4.852	16.530
4.952	17.077
5.052	17.624
5.152	18.171
5.252	18.171
5.352	18.717
5.452	18.717
5.552	19.264
5.652	19.811
5.752	20.358
5.852	20.358
5.953	20.904
6.052	21.451
6.153	21.998
6.252	21.998
6.352	22.545
6.452	22.545
6.552	23.091
6.652	23.638
6.752	23.638
6.852	24.185
6.952	24.732
7.052	24.732
7.152	25.278
7.252	25.825
7.352	26.372
7.452	26.372
7.552	26.918
7.652	26.918
7.752	27.465
7.853	28.012
7.952	28.559
8.052	28.559
8.152	29.105
8.252	29.652
8.352	29.652
8.452	30.199
8.552	30.746
8.652	30.746
8.752	31.292
8.852	31.839
8.952	31.839
9.052	32.386
9.152	32.933
9.252	33.479
9.352	33.479
9.452	34.026
9.552	34.026
9.653	34.573
9.752	35.120
9.852	35.666
9.953	35.666
10.052	36.213
10.152	36.760
10.252	36.760
10.352	37.307
10.452	37.853
10.552	37.853
10.652	38.400
10.752	38.947
10.852	38.947
10.952	39.494
11.052	40.040
11.152	40.040
11.252	40.587
11.352	41.134
11.452	41.681
11.552	41.681
11.652	42.227
11.752	42.774
11.852	42.774
11.952	43.321
12.052	43.868
12.152	43.868
12.252	44.414
12.352	44.961
12.452	44.961
12.552	45.508
12.652	46.055
12.752	46.055
12.852	46.601
12.952	47.148
13.052	47.148
13.152	47.695
13.252	48.241
13.352	48.241
13.452	48.788
13.552	49.335
13.652	49.335
13.752	49.882
13.852	50.428
13.952	50.975
14.052	50.975
14.152	51.522
14.252	52.069
14.352	52.069
14.452	52.615
14.552	53.162
14.652	53.162
14.752	53.709
14.852	54.256
14.952	54.256
15.052	54.802
15.152	55.349
15.252	55.349
15.352	55.896
15.453	56.443
15.552	56.989
15.652	56.989
15.752	57.536
15.852	58.083
15.952	58.083
16.052	58.630
16.152	59.176
16.252	59.176
16.352	59.723
16.453	60.270
16.552	60.270
16.652	60.817
16.752	61.363
16.852	61.910
16.952	61.910
17.052	62.457
17.152	63.004
17.252	63.004
17.352	63.550
17.452	64.097
17.552	64.097
17.652	64.644
17.752	65.191
17.852	65.191
17.952	65.737
18.052	66.284
18.152	66.284
18.252	66.831
18.352	67.378
18.452	67.378
18.552	67.924
18.652	68.471
18.753	69.018
18.852	69.018
18.952	69.564
19.052	70.111
19.152	70.111
19.252	70.658
19.352	71.205
