Motion Through Fluids Experiment Wed, Mar 21, 2018 3:09 PM
Time(sec)	Position(mm)
0.022	0.000
0.072	0.000
0.122	0.000
0.172	0.000
0.222	0.000
0.272	0.000
0.322	0.000
0.372	1.222
0.422	5.049
0.472	11.610
0.522	17.624
0.572	23.638
0.622	29.105
0.672	34.573
0.722	40.040
0.772	46.055
0.822	52.069
0.872	58.083
0.922	64.644
0.972	70.658
1.022	77.766
1.072	84.327
1.122	90.887
1.172	96.902
1.222	102.916
1.272	108.930
1.322	114.944
1.372	120.958
1.422	127.519
1.472	134.080
1.522	140.641
1.572	147.749
1.622	154.856
1.722	168.525
1.772	175.086
1.822	181.647
1.872	188.208
1.922	194.769
1.972	201.876
2.022	208.984
2.072	216.092
2.122	223.199
2.172	230.307
2.222	237.415
2.272	244.522
2.322	252.177
2.372	0.000
2.422	0.000
2.472	0.000
2.522	0.000
2.572	0.000
2.622	0.000
2.672	0.000
