Motion Through Fluids Experiment Wed, Mar 21, 2018 2:45 PM
Time(sec)	Position(mm)
0.035	0.000
0.135	0.000
0.185	0.000
0.235	0.000
0.285	0.000
0.335	0.000
0.385	0.000
0.435	0.000
0.485	0.000
0.535	0.000
0.585	0.000
0.635	0.000
0.685	0.000
0.735	0.000
0.785	0.000
0.835	0.000
0.885	0.000
0.935	0.000
0.986	0.000
1.035	0.000
1.085	0.675
1.135	0.675
1.185	1.222
1.235	1.768
1.285	2.862
1.335	3.409
1.385	3.955
1.435	4.502
1.485	5.049
1.535	5.595
1.585	6.689
1.635	6.689
1.685	7.782
1.735	8.329
1.785	8.876
1.835	9.423
1.885	9.969
1.935	10.516
1.985	11.610
2.036	12.156
2.085	12.703
2.135	13.250
2.185	13.797
2.235	14.343
2.285	14.890
2.335	15.437
2.385	16.530
2.435	17.077
2.485	17.624
2.535	18.171
2.585	18.717
2.635	19.264
2.685	20.358
2.735	20.904
2.785	21.451
2.835	21.998
2.885	22.545
2.935	23.091
2.985	24.185
3.035	24.732
3.085	25.278
3.135	25.825
3.185	26.372
3.235	26.918
3.285	28.012
3.335	28.559
3.385	29.105
3.435	29.652
3.485	30.199
3.535	30.746
3.585	31.839
3.635	32.386
3.685	32.933
3.735	33.479
3.786	34.026
3.835	34.573
3.885	35.666
3.935	36.213
3.985	36.760
4.035	37.307
4.085	37.853
4.135	38.400
4.186	39.494
4.235	40.040
4.285	40.587
4.335	41.134
4.385	41.681
4.435	42.227
4.485	43.321
4.535	43.868
4.585	44.414
4.635	44.961
4.685	45.508
4.735	46.055
4.785	47.148
4.835	47.695
4.885	48.241
4.935	48.788
4.985	49.335
5.035	50.428
5.085	50.975
5.135	51.522
5.185	52.069
5.235	52.615
5.285	53.162
5.335	53.709
5.385	54.802
5.435	55.349
5.485	55.896
5.535	56.443
5.585	56.989
5.635	57.536
5.685	58.630
5.735	59.176
5.785	59.723
5.835	60.270
5.885	60.817
5.935	61.363
5.985	62.457
6.035	63.004
6.085	63.550
6.135	64.097
6.185	64.644
6.235	65.191
6.285	65.737
6.335	66.831
6.385	67.378
6.435	67.924
6.485	68.471
6.536	69.018
6.585	69.564
6.635	70.658
6.685	71.205
6.735	71.751
6.785	72.298
6.835	72.845
6.885	73.392
6.935	74.485
6.985	75.032
7.035	75.579
7.085	76.125
7.136	76.672
7.185	77.219
7.235	78.312
7.285	78.859
7.335	79.406
7.385	79.953
7.435	80.499
7.485	81.046
7.535	82.140
7.585	82.686
7.635	83.233
7.685	83.780
7.735	84.327
7.785	84.873
7.835	85.967
7.885	86.514
7.935	87.060
7.985	87.607
8.036	88.154
8.085	88.701
8.135	89.794
8.185	90.341
8.235	90.887
8.285	91.434
8.335	91.981
8.385	92.528
8.435	93.074
8.485	93.621
8.535	94.715
8.585	95.261
8.635	95.808
8.685	96.355
8.735	96.902
8.785	97.995
8.835	98.542
8.885	99.089
8.935	99.635
8.985	100.182
9.035	100.729
9.085	101.276
9.135	102.369
9.185	102.916
9.235	103.463
9.285	104.009
9.335	104.556
9.385	105.103
9.435	106.196
9.485	106.743
9.535	107.290
9.585	107.837
9.635	108.383
9.685	109.477
9.735	110.024
9.786	110.570
9.835	111.117
9.885	111.664
9.935	112.210
9.985	112.757
10.035	113.851
10.086	114.397
10.135	114.944
10.185	115.491
10.235	116.038
10.285	116.584
10.335	117.678
10.385	118.225
10.435	118.771
10.485	119.318
10.536	119.865
10.585	120.412
10.635	121.505
10.685	122.052
10.735	122.599
10.785	123.145
10.835	123.692
10.885	124.239
10.935	125.332
10.985	125.879
11.035	126.426
11.085	126.973
11.135	127.519
11.185	128.066
11.235	128.613
11.285	129.706
11.335	130.253
11.385	130.800
11.435	131.347
11.485	131.893
11.536	132.440
11.585	132.987
11.635	134.080
11.685	134.627
11.735	135.174
11.786	135.720
