Motion Through Fluids Experiment Wed, Mar 21, 2018 2:41 PM
Time(sec)	Position(mm)
0.033	0.000
0.133	0.000
0.184	0.000
0.233	0.000
0.283	0.000
0.333	0.000
0.383	0.000
0.433	0.000
0.483	0.000
0.533	0.000
0.583	0.000
0.633	0.000
0.683	0.000
0.733	0.000
0.783	0.000
0.833	0.000
0.883	0.000
0.933	0.000
0.983	0.000
1.033	0.000
1.083	0.000
1.133	0.000
1.183	0.000
1.233	0.000
1.283	0.675
1.333	1.222
1.383	1.768
1.433	2.862
1.483	4.502
1.533	5.595
1.583	6.689
1.633	8.329
1.683	9.423
1.733	10.516
1.783	12.156
1.833	13.250
1.883	14.890
1.933	15.984
1.983	17.624
2.033	18.717
2.083	20.358
2.133	21.451
2.183	22.545
2.233	24.185
2.283	25.278
2.333	26.918
2.383	28.012
2.433	29.652
2.484	30.746
2.533	32.386
2.583	33.479
2.633	35.120
2.683	36.213
2.733	37.853
2.783	38.947
2.834	40.587
2.883	41.681
2.933	43.321
2.983	44.414
3.034	46.055
3.083	47.148
3.133	48.788
3.183	49.882
3.233	51.522
3.283	52.615
3.333	54.256
3.384	55.349
3.433	56.989
3.483	58.083
3.533	59.723
3.583	60.817
3.633	62.457
3.683	63.550
3.733	65.191
3.783	66.284
3.833	67.378
3.883	69.018
3.933	70.111
3.983	71.751
4.033	72.845
4.083	74.485
4.133	75.579
4.183	77.219
4.233	78.312
4.283	79.953
4.333	81.046
4.383	82.686
4.433	83.780
4.483	85.420
4.533	86.514
4.583	87.607
4.633	89.247
4.683	90.887
4.733	91.981
4.783	93.074
4.834	94.715
4.883	95.808
4.933	97.448
4.983	98.542
5.033	100.182
5.083	101.276
5.133	102.369
5.183	104.009
5.233	105.650
5.283	106.743
5.333	107.837
5.383	109.477
5.433	110.570
5.483	112.210
5.533	113.304
5.583	114.944
5.633	116.038
5.683	117.678
5.733	118.771
5.783	120.412
5.833	121.505
5.883	123.145
5.933	124.239
5.983	125.332
6.033	126.973
6.083	128.066
6.133	129.706
6.183	130.800
6.233	132.440
6.283	133.533
6.333	135.174
6.384	136.267
6.433	137.907
6.483	139.001
6.533	140.641
6.583	141.735
6.633	143.375
6.683	144.468
6.733	146.109
6.783	147.202
6.833	148.296
6.883	149.936
6.933	151.029
6.983	152.670
7.033	153.763
7.083	155.403
7.133	156.497
7.183	158.137
7.233	159.230
7.283	160.871
7.333	161.964
7.383	163.604
7.433	164.698
7.483	165.791
7.533	167.432
7.583	168.525
7.633	170.165
7.683	171.259
7.733	172.899
7.783	173.992
7.833	175.086
7.883	176.726
7.933	177.820
7.983	179.460
8.033	180.553
8.083	182.194
8.133	183.287
8.183	184.927
8.233	186.021
8.283	187.661
8.333	188.755
8.383	190.395
8.433	191.488
8.483	193.129
8.533	194.222
8.583	195.862
8.633	196.956
8.683	198.049
8.733	199.689
8.783	200.783
8.833	202.423
8.883	203.517
8.933	205.157
8.983	206.250
9.033	207.891
9.083	208.984
9.133	210.624
9.183	211.718
9.233	212.811
9.283	214.452
9.333	215.545
9.383	217.185
9.434	218.279
9.483	219.919
9.533	221.012
9.583	222.653
9.633	223.746
9.683	225.386
9.733	226.480
9.783	228.120
9.833	229.214
9.883	230.307
9.933	231.947
9.983	233.041
10.033	234.681
10.083	235.775
10.133	237.415
10.183	238.508
10.233	240.148
10.283	241.242
10.334	242.882
10.383	243.976
10.433	245.616
10.483	246.709
10.533	247.803
10.583	249.443
10.633	250.537
10.683	252.177
10.733	253.270
10.783	254.364
10.833	254.911
10.883	0.000
10.933	0.000
10.983	0.000
11.033	0.000
11.083	0.000
11.133	0.000
11.184	0.000
11.233	0.000
