Motion Through Fluids Experiment Wed, Mar 21, 2018 3:13 PM
Time(sec)	Position(mm)
0.040	0.000
0.090	0.000
0.140	2.315
0.190	6.689
0.241	10.516
0.291	15.437
0.340	19.811
0.390	24.185
0.441	29.105
0.490	33.479
0.540	38.400
0.590	43.868
0.640	48.788
0.690	54.256
0.741	59.176
0.791	64.644
0.840	70.111
0.890	75.579
0.940	81.046
0.990	86.514
1.040	91.981
1.090	97.448
1.140	102.916
1.190	108.383
1.240	113.851
1.290	119.318
1.340	125.332
1.390	130.800
1.440	135.720
1.490	142.281
1.540	147.749
1.590	152.670
1.640	158.137
1.690	163.604
1.740	169.072
1.790	175.086
1.840	180.553
1.890	186.021
1.940	192.035
1.990	197.502
2.040	202.970
2.090	208.984
2.140	214.452
2.190	220.466
2.241	225.933
2.290	231.947
2.340	237.415
2.390	243.429
2.440	248.896
2.490	254.911
2.540	0.000
2.590	0.000
2.640	0.000
