Motion Through Fluids Experiment Wed, Mar 21, 2018 2:43 PM
Time(sec)	Position(mm)
0.002	0.000
0.102	0.000
0.202	0.000
0.252	0.000
0.302	0.000
0.352	0.000
0.402	0.000
0.452	0.000
0.502	0.000
0.552	0.000
0.602	0.000
0.652	0.000
0.702	0.000
0.752	0.000
0.802	0.000
0.852	0.000
0.902	0.000
0.952	0.000
1.002	0.000
1.052	0.000
1.102	0.000
1.153	0.000
1.202	0.000
1.252	0.000
1.302	0.000
1.352	0.000
1.402	0.000
1.452	0.000
1.502	0.000
1.552	0.000
1.602	0.000
1.652	0.000
1.702	0.000
1.752	0.000
1.802	0.000
1.852	0.000
1.902	0.000
1.953	0.675
2.002	1.222
2.052	1.768
2.103	2.315
2.152	2.862
2.202	3.409
2.252	3.955
2.302	4.502
2.352	5.049
2.402	6.142
2.452	6.689
2.502	7.236
2.552	7.782
2.602	8.329
2.652	8.876
2.702	9.423
2.752	10.516
2.802	11.063
2.852	11.610
2.902	12.156
2.952	12.703
3.002	13.250
3.052	14.343
3.102	14.890
3.152	15.437
3.202	15.984
3.252	16.530
3.302	17.077
3.352	18.171
3.402	18.717
3.452	19.264
3.502	19.811
3.552	20.358
3.602	20.904
3.652	21.451
3.702	22.545
3.752	23.091
3.802	23.638
3.852	24.185
3.902	24.732
3.952	25.278
4.002	25.825
4.052	26.372
4.102	27.465
4.152	28.012
4.202	28.559
4.252	29.105
4.302	29.652
4.352	30.199
4.402	31.292
4.452	31.839
4.502	32.386
4.552	32.933
4.602	33.479
4.652	34.573
4.702	35.120
4.752	35.666
4.802	36.213
4.852	36.760
4.902	37.307
4.952	37.853
5.002	38.947
5.052	39.494
5.102	40.040
5.152	40.587
5.202	41.134
5.252	41.681
5.302	42.774
5.352	43.321
5.403	43.868
5.452	44.414
5.502	44.961
5.552	45.508
5.602	46.055
5.652	47.148
5.703	47.695
5.752	48.241
5.802	48.788
5.852	49.335
5.903	49.882
5.952	50.975
6.002	51.522
6.052	52.069
6.102	52.615
6.152	53.162
6.202	53.709
6.252	54.802
6.302	55.349
6.352	55.896
6.402	56.443
6.452	56.989
6.502	57.536
6.552	58.083
6.602	59.176
6.652	59.723
6.702	60.270
6.752	60.817
6.802	61.363
6.852	61.910
6.902	63.004
6.952	63.550
7.002	64.097
7.052	64.644
7.102	65.191
7.152	65.737
7.202	66.284
7.253	67.378
7.302	67.924
7.352	68.471
7.402	69.018
7.452	69.564
7.502	70.111
7.552	71.205
7.602	71.751
7.652	72.298
7.702	72.845
7.752	73.392
7.802	73.938
7.852	74.485
7.902	75.579
7.952	76.125
8.002	76.672
8.052	77.219
8.102	77.766
8.153	78.312
8.202	79.406
8.252	79.953
8.302	80.499
8.352	81.046
8.402	81.593
8.452	82.140
8.502	83.233
8.552	83.780
8.602	84.327
8.653	84.873
8.702	85.420
8.752	85.967
8.802	86.514
8.852	87.607
8.902	88.154
8.952	88.701
9.002	89.247
9.052	89.794
9.102	90.341
9.152	91.434
9.202	91.981
9.252	92.528
9.302	93.074
9.352	93.621
9.402	94.168
9.452	95.261
9.502	95.808
9.552	96.355
9.602	96.902
9.652	97.448
9.702	97.995
9.752	98.542
9.802	99.635
9.852	100.182
9.902	100.729
9.952	101.276
10.002	101.822
10.052	102.369
10.102	103.463
10.152	104.009
10.202	104.556
10.252	105.103
10.302	105.650
10.352	106.196
10.402	106.743
10.452	107.837
10.502	108.383
10.552	108.930
10.602	109.477
10.652	110.024
10.702	110.570
10.752	111.664
10.802	112.210
10.852	112.757
