Motion Through Fluids Experiment Wed, Mar 21, 2018 2:47 PM
Time(sec)	Position(mm)
0.008	0.000
0.108	0.000
0.158	0.000
0.208	0.000
0.258	0.000
0.308	0.000
0.358	0.000
0.408	0.000
0.458	0.000
0.509	0.000
0.558	0.000
0.608	0.000
0.658	0.000
0.708	0.000
0.758	0.000
0.808	0.000
0.858	0.000
0.908	0.000
0.958	0.000
1.008	0.000
1.058	0.000
1.108	0.000
1.158	0.000
1.208	0.000
1.258	0.000
1.308	0.000
1.358	0.000
1.409	0.000
1.458	0.000
1.508	0.000
1.558	0.000
1.608	0.000
1.658	0.000
1.708	0.000
1.758	0.000
1.808	0.000
1.858	0.000
1.908	0.675
1.958	0.675
2.008	1.222
2.058	1.222
2.108	1.768
2.158	2.315
2.208	2.315
2.258	2.862
2.308	3.409
2.358	3.409
2.408	3.955
2.458	4.502
2.508	4.502
2.558	5.049
2.608	5.595
2.658	6.142
2.708	6.142
2.758	6.689
2.808	7.236
2.858	7.236
2.908	7.782
2.958	8.329
3.008	8.329
3.058	8.876
3.108	9.423
3.158	9.423
3.209	9.969
3.259	10.516
3.308	10.516
3.358	11.063
3.408	11.610
3.458	11.610
3.508	12.156
3.558	12.703
3.608	12.703
3.658	13.250
3.708	13.797
3.758	13.797
3.808	14.343
3.858	14.890
3.908	14.890
3.958	15.437
4.008	15.984
4.058	15.984
4.108	16.530
4.158	17.077
4.208	17.077
4.258	17.624
4.308	18.171
4.358	18.171
4.408	18.717
4.458	19.264
4.508	19.264
4.558	19.811
4.608	20.358
4.658	20.358
4.708	20.904
4.758	21.451
4.808	21.451
4.858	21.998
4.909	22.545
4.958	22.545
5.008	23.091
5.058	23.638
5.108	23.638
5.158	24.185
5.208	24.732
5.259	24.732
5.308	25.278
5.358	25.825
5.408	25.825
5.458	26.372
5.508	26.918
5.558	26.918
5.608	27.465
5.658	28.012
5.708	28.012
5.758	28.559
5.808	29.105
5.858	29.105
5.909	29.652
5.958	30.199
6.008	30.199
6.058	30.746
6.108	31.292
6.158	31.292
6.208	31.839
6.258	32.386
6.308	32.386
6.358	32.933
6.409	33.479
6.458	34.026
6.508	34.026
6.558	34.573
6.608	34.573
6.658	35.120
6.708	35.666
6.758	36.213
6.808	36.213
6.858	36.760
6.908	37.307
6.958	37.307
7.008	37.853
7.058	38.400
7.108	38.400
7.158	38.947
7.208	39.494
7.258	39.494
7.309	40.040
7.358	40.587
7.408	40.587
7.458	41.134
7.508	41.681
7.558	41.681
7.608	42.227
7.658	42.774
7.708	42.774
7.758	43.321
7.809	43.868
7.858	43.868
