Motion Through Fluids Experiment Wed, Mar 21, 2018 2:37 PM
Time(sec)	Position(mm)
0.026	0.000
0.126	0.000
0.226	0.000
0.276	0.000
0.326	0.000
0.376	0.000
0.426	0.000
0.476	0.000
0.526	0.000
0.576	0.000
0.626	0.000
0.676	0.000
0.726	0.000
0.776	0.675
0.826	1.222
0.876	2.315
0.926	3.955
0.977	6.142
1.026	8.329
1.076	10.516
1.126	12.703
1.176	14.890
1.226	17.077
1.276	19.264
1.326	21.451
1.376	23.638
1.427	25.825
1.476	28.012
1.526	30.199
1.576	32.933
1.626	35.120
1.676	37.307
1.727	39.494
1.776	41.681
1.826	43.868
1.876	46.055
1.926	48.241
1.976	50.428
2.026	53.162
2.076	55.349
2.126	57.536
2.177	59.723
2.226	61.910
2.276	64.097
2.327	66.284
2.376	69.018
2.426	71.205
2.476	73.392
2.526	75.579
2.576	77.766
2.626	79.953
2.676	82.140
2.726	84.327
2.777	86.514
2.826	88.701
2.876	91.434
2.926	93.621
2.976	95.808
3.026	97.995
3.076	100.182
3.126	102.369
3.176	104.556
3.226	106.743
3.276	109.477
3.326	111.664
3.376	113.851
3.426	116.038
3.476	118.225
3.526	120.412
3.576	122.599
3.626	124.786
3.676	126.973
3.726	129.160
3.776	131.347
3.826	133.533
3.876	135.720
3.926	137.907
3.976	140.641
4.026	142.828
4.076	145.015
4.126	147.202
4.176	149.389
4.227	151.576
4.276	153.763
4.326	155.950
4.376	158.137
4.426	160.324
4.476	163.058
4.526	165.245
4.576	167.432
4.626	169.619
4.676	171.806
4.726	173.992
4.776	176.179
4.826	178.366
4.876	180.553
4.926	183.287
4.976	185.474
5.026	187.661
5.076	189.848
5.126	192.035
5.176	194.222
5.226	196.409
5.276	198.596
5.326	201.330
5.376	203.517
5.426	205.704
5.476	207.891
5.526	210.078
5.576	212.265
5.626	214.452
5.676	216.638
5.726	218.825
5.776	221.012
5.826	223.746
5.876	225.933
5.926	228.120
5.976	230.307
6.026	232.494
6.076	234.681
6.126	236.868
6.176	239.055
6.226	241.789
6.276	243.976
6.326	246.163
6.376	248.350
6.426	250.537
6.476	252.724
6.526	254.364
6.577	254.911
6.626	0.000
6.676	0.000
6.726	0.000
